id,hook,title,for,cat,link,comentarios,thumb
ig-DOUdM1mEt1F,Greatest drum mix ever?,Is this the greatest drum tuning?,musician/band,"vibes, performance, relatable",https://www.instagram.com/reel/DOUdM1mEt1F/?igsh=MWhjemFmYnU5M3R5cw==,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/4272be91455f3151a37c61c19802dc6e02234273.jpg
ig-DOUoeq1CdoA,,We bet you sing and smile! @therealmarcusmiller…,musician/band,"vibes, performance, storytelling",https://www.instagram.com/reel/DOUoeq1CdoA/?igsh=MW9vN3plYW96a2d3aw==,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/05a992d15fc32fcf9e47d3df6a3a5e9445b1485b.jpg
ig-DMnm5Quiulk,,They laugh at the truth,,"vibes, performance",https://www.instagram.com/reel/DMnm5Quiulk/?igsh=OHFiZDBmMmx3bmRm,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/637eba14f834e1c42b8649ac7f6c1d80ba38dab5.jpg
ig-DN0-J-WXnS0,What people seen when dancers are listening to music vs What dancers are doing in their head,If You See Us Twitching.. Were Okay,bailarines,"comedy/sketch, relatable, performance, transition hook",https://www.instagram.com/reel/DN0-J-WXnS0/?igsh=NTkxNjFlYWJlNjU5,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/5b373c23e605c2fa29ea0ee94f92a74547d98448.jpg
ig-DHnqw_2vV3Q,,LISA - FUTW @polarix_zai @lalalalisa_m,bailarines,"vibes, performance, transition hook",https://www.instagram.com/reel/DHnqw_2vV3Q/?igsh=em80YWIzOHVmaXkw,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/ad4011ac9fea26c28226abc36c88876116414fac.jpg
ig-DMrBDFjuXc6,Monday blues,Monday Blues Blues Boys Tune ~ B.B. King Little,,"vibes, performance, storytelling, about me",https://www.instagram.com/reel/DMrBDFjuXc6/?igsh=NWo0eHpscTM2dGNs,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/ef5598ebe2f9ff6fe35edec533e8d474f2948925.jpg
ig-DOWaGanieFt,,Now Freeze @forgetmat x @itsslavik,bailarines,"vibes, performance, transition hook, relatable",https://www.instagram.com/reel/DOWaGanieFt/?igsh=MWFnN3BtZTUza3F6OQ==,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/f889730fd0012e2796f4f74dc3792575ddeffeb6.jpg
ig-DN5JvjqjqVO,,Stream Anthem @all_h_ours of the day w/ @_latricekabamba :,bailarines,"vibes, performance, transition hook, relatable",https://www.instagram.com/reel/DN5JvjqjqVO/?igsh=MWkwZjN2MndxeDQzNw==,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/a52fe1ee8f75b44d8119deb78c7443ac9d2f2981.jpg
ig-DL6n0f-Opn7,,Workshopping some choreo last month with the gang.,baile,"vibes, transition hook, performance",https://www.instagram.com/reel/DL6n0f-Opn7/?igsh=MXVncjF5bndvNzA4bw==,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/f3f1be914ce0bac9e9417e7f11253e6f90ebcdb5.jpg
ig-DNMfKVax8M1,,Educational · Transition Hook · Performance · Relatable,vocalist/rapper,"educational, transition hook, performance, relatable",https://www.instagram.com/reel/DNMfKVax8M1/?igsh=dmQ5dHk4dml2MnZx,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/9e1e394a1303fa265c6a6ac43de180751f76d1f8.jpg
ig-DMowiAbgCrZ,,this ones black and its blue and its not,,"performance, vibes, transition hook",https://www.instagram.com/reel/DMowiAbgCrZ/?igsh=MXZ3OXUyOGhnNXJmdQ==,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/6cc78c852650bd88229064629d63a71e818e09b8.jpg
ig-DMxp17ExQ8K,,Summer,musician/band,"performance, vibes, storytelling",https://www.instagram.com/reel/DMxp17ExQ8K/?igsh=MWc3MHJ0NW1hem9vdA==,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/8e2e304ee345b377528daa601abe801c19c6b1cc.jpg
